unilemma,num_forms
2PL.REFL,1
accompany,1
acorn,1
act like,1
actually,1
adult,1
against,1
aggrieved,1
ahead,1
air,1
album,1
always,1
amuse,1
answer,1
anybody,1
aound,1
apartment,1
arrive,1
at all,1
ball pit,1
bar,1
bathhouse,1
be bored,1
beak,1
beast,1
bed bug,1
beet,1
bend,1
best,1
bikini,1
birch,1
bleed,1
blindfold,1
block,1
bloom,1
bone,1
borrow,1
boss,1
both,1
bottle opener,1
boulder,1
bounce,1
brain,1
brave,1
bride,1
brighten,1
broccoli,1
brrr,1
brush,1
bully,1
burp,1
burst,1
bus stop,1
butcher,1
buttocks,1
c'mere,1
calendar,1
calf (animal),1
can opener,1
can you?,1
car seat,1
caress,1
cauliflower,1
caviar,1
chestnut,1
chickpea,1
childish,1
chimney sweep,1
chocolate mousse,1
chop,1
christmas,1
clam,1
closer,1
clumsy,1
coffee table,1
colors,1
come out,1
commiserate,1
complain,1
concert,1
cooker,1
cot,1
cotton,1
crash,1
cricket,1
croissant,1
crush,1
cup/bag,1
cutlet,1
dangerous,1
delightful,1
detergent,1
did not,1
dim,1
ding dong,1
dishwasher,1
dismantle,1
ditch,1
does,1
don't like,1
doorman,1
drain (object),1
drawn,1
dress,1
dress shoe,1
drum,1
dumb,1
earrings,1
easter,1
eight,1
else,1
elsewhere,1
entire,1
erase,1
eraser,1
everyday,1
excellent,1
explode,1
fart,1
fasten,1
favorite,1
feet,1
fish tank,1
fishtank,1
fixed,1
flip,1
float,1
flood (action),1
flour,1
flow,1
fluffy,1
flush,1
flying bugs,1
fold,1
fool,1
forger,1
fridge,1
frighten,1
from here,1
from there,1
frozen,1
fry,1
fur,1
further,1
ga ga,1
gain,1
garbage man,1
gather,1
get cut,1
gingerbread,1
go around,1
gonna,1
good afternoon,1
gorilla,1
gotta,1
gravy,1
greenhouse,1
grey,1
grimy,1
group,1
grumpy,1
gut,1
hair tie,1
halloween,1
handsome,1
hanukkah,1
has,1
have an injection,1
have been,1
hazelnut,1
headband,1
heating,1
heel,1
helmet,1
here you go,1
hold hands,1
hollow,1
hope,1
how (connecting),1
hurley,1
hurt,1
i like,1
i love,1
imagine,1
in no way,1
in the evenings,1
inflate,1
instead of,1
interpreter,1
invite,1
iron (action),1
isn't,1
itch,1
itchy,1
join,1
joke (action),1
just now,1
kayak,1
kettle,1
kid (goat),1
kitten,1
koala,1
lace (object),1
launch,1
layer of,1
leave (behind),1
leopard,1
let me,1
licorice,1
light,1
light (decription),1
light blue,1
lighter,1
liver (food),1
llama,1
load,1
lock (object),1
lunchbox,1
lunchtime,1
macaroni,1
magpie,1
mall,1
mask,1
may,1
meal,1
mean,1
mermaid,1
microphone,1
midmorning,1
minibus,1
miserable,1
miss (address),1
mistake,1
mix,1
moist,1
mold,1
most,1
nail (finger),1
neat,1
next,1
niece,1
nine,1
noise,1
nostril,1
notebook,1
nowhere,1
often,1
oil,1
onesie,1
opposite,1
other people,1
pack of,1
pain,1
pantyhose,1
paprika,1
parking lot,1
paw,1
pelican,1
perform,1
perfume,1
pet (action),1
pharmacy,1
piggy bank,1
piglet,1
pilaf,1
pine,1
pirate,1
play with blocks,1
pliers,1
polish,1
pomegranate,1
poor thing,1
possum,1
postage stamp,1
practice,1
preschool,1
priest,1
probably,1
pull out,1
punish,1
puzzle (action),1
pyjamas,1
quilt,1
quit,1
rail,1
rather,1
rattle (object),1
really,1
refuel,1
release,1
resemble,1
rest,1
ribs (food),1
right,1
right (question),1
ring (action),1
rock paper scissors,1
rocket,1
row row your boat,1
ruler,1
said,1
sailboat,1
saw,1
scallion,1
scatter,1
screwdriver,1
see you tomorrow,1
set,1
seven,1
severe,1
shake hands,1
shine,1
shoelace,1
shoot,1
side,1
singer,1
six,1
ski (action),1
ski (object),1
skip,1
sled (action),1
slice of,1
slippery,1
slug,1
smash,1
smear,1
smeared,1
smooth,1
snap,1
snuffle,1
solid,1
sound (action),1
sour cream,1
special,1
spray,1
spread,1
sprinkles,1
sprouts,1
square,1
stamp,1
stick of,1
still,1
stocking,1
strike,1
sunglasses,1
sunny,1
support,1
suspenders,1
sweatshirt,1
switch,1
taco,1
tap,1
tease,1
ten,1
ten fingers,1
tent,1
terrible,1
thermometer,1
thief,1
thirst,1
this little pig,1
this morning,1
though,1
ticklish,1
times,1
tire,1
tire (object),1
to be needed,1
to here,1
toad,1
too much,1
tortellini,1
traffic,1
trample,1
triangle,1
trickster,1
trumpet,1
"tu,ble",1
tug,1
tumble,1
type,1
uncover,1
unwilling,1
up in,1
upset,1
used to,1
vacation,1
vacuum cleaner,1
van,1
volleyball,1
waist,1
wake up,1
wash face,1
wash hands,1
waste,1
water,1
water (action),1
wave (action),1
waves,1
weak,1
wedding,1
weel,1
well (object),1
whatever,1
wheelbarrow,1
where from,1
whether,1
whistle (action),1
whistle (object),1
wife,1
will (auxiliary),1
will do,1
wink,1
wire,1
wombat,1
won't do,1
wooden ladle,1
workplace,1
wrap,1
yawn,1
yeah,1
yet,1
you're welcome,1
younger sibling,1
zucchini,1
1PL.REFL,2
achoo,2
across,2
alcohol,2
alert,2
allowed,2
almost,2
along,2
alphabet,2
although,2
apricot,2
apron,2
atole,2
attach,2
backpack,2
bark,2
basin,2
be quiet,2
beaver,2
beef,2
bidet,2
blender,2
bless,2
blink,2
blood,2
blouse,2
blueberry,2
board,2
board game,2
body,2
boil,2
bold,2
boogeyman,2
bookshelf,2
bored,2
bottom,2
braid (object),2
branch,2
breathe,2
bull,2
bus station,2
business,2
cabin,2
cart,2
castle,2
change,2
change diaper,2
chew,2
clever,2
click,2
coat hanger,2
collect,2
comfortable,2
congratulate,2
cool (action),2
croquette,2
cushion,2
cycle (action),2
daytime,2
deep,2
dentist,2
detach,2
dining room,2
dirty (action),2
disappointed,2
dislike,2
divide,2
don't know,2
don't want,2
dried seaweed,2
drink (object),2
drip drop,2
drum (action),2
dust,2
earlier,2
eggplant,2
either,2
end,2
even,2
exchange,2
excuse me,2
exercise,2
expensive,2
factory,2
family name,2
father's name,2
fawn,2
fetch,2
fir,2
firewood,2
flee,2
flirtatious,2
foggy,2
fountain,2
friendly,2
frost,2
fun,2
garbage,2
gas,2
get hungry,2
get out,2
ghost,2
gift (action),2
gloves,2
glue (action),2
go around the house,2
go eat,2
go to school,2
go to work,2
go-ahead,2
gobble gobble,2
gone,2
granola,2
grasp,2
grill (object),2
guava,2
guess,2
guest,2
had,2
handkerchief,2
hands up,2
hanger,2
hare,2
have hands,2
have/want,2
hearing,2
herder,2
high five,2
hill,2
hip,2
hoe (object),2
hood,2
hoot,2
horrible,2
hot (temperature),2
hot (weather),2
hour,2
how (connecting,2
however,2
hunt,2
icicle,2
idea,2
