WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1		sounds	ach	oh	oh			
item_2		sounds	au	ow!	ouch			
item_3		sounds	bim-bam	ding-dong				
item_4		sounds	brm / tú / títí (auto)	toot toot (auto)	vroom			
item_5		sounds	bum bác	bang bang				
item_6		sounds	čľup	plop				
item_7		sounds	fuj	yuck				
item_8		sounds	hop	hop				
item_9		sounds	chacha / hihi	hihi				
item_10		sounds	jáj / júj / jéj	yow!				
item_11		sounds	kač	kač				
item_12		sounds	kikirikí (kohút)	cockadoodledoo (cock)	cockadoodledoo			
item_13		sounds	kuk	peekaboo			peekaboo	
item_14		sounds	pip / pipí (sliepka)	peep (hen)				
item_15	item_55	sounds	šiši / ššš (vlak)	choo choo (the train)	choo choo			
item_16		sounds	tik-tak	tick-tock	tick tock			
item_17	item_59	animals	bobrík	beaver			beaver	
item_18		animals	bocian	stork			stork	
item_19		animals	delfín	dolphin			dolphin	
item_20	item_60	animals	had	snake	snake			
item_21	item_61	animals	holub	pigeon			pigeon	
item_22		animals	hroch	hippo	hippopotamus			
item_23	item_62	animals	hus	goose	goose			
item_24		animals	húsenica	caterpillar			caterpillar	
item_25	item_73	animals	kukučka	cuckoo				
item_26		animals	kuriatko / sliepka	chicken	chicken (animal)			
item_27		animals	labka	paw			paw	
item_28	item_75	animals	labuť	swan			swan	
item_29		animals	lastovička	swallow	swallow			
item_30	item_76	animals	lev	lion	lion			
item_31	item_77	animals	lienka	ladybird	ladybug			
item_32		animals	líška	Fox	fox			
item_33	item_89	animals	ryba	fish	fish (animal)			
item_34		animals	slimák	slug			slug	
item_35	item_90	animals	slon	an elephant	elephant			
item_36		animals	somárik / oslík	donkey / burro	donkey			
item_37	item_91	animals	sova	owl	owl			
item_38		animals	ťava	camel			camel	
item_39	item_92	animals	tiger	tiger	tiger			
item_40	item_93	animals	tuleň	seal			seal (animal)	
item_41		animals	chrobák	beetle	bug			
item_42		animals	chvostík	tail			tail	
item_43		animals	jašterica	lizard			lizard	
item_44	item_64	animals	jeleň	deer	deer			
item_45		animals	ježko	hedgehog	hedgehog			
item_46	item_65	animals	kačka	duck	duck			
item_47	item_66	animals	kohút	cock	rooster			
item_48	item_67	animals	koník	grasshopper	pony			
item_49	item_68	animals	korytnačka	turtle	turtle			
item_50	item_69	animals	koza	goat	goat			
item_51	item_70	animals	krava	cow	cow			
item_52		animals	krídla	wings			wing	
item_53	item_71	animals	krokodíl	crocodile	crocodile			
item_54	item_72	animals	krtko	mole			mole	
item_55	item_80	animals	meno domáceho zvieratka	your pet's name	pet's name			
item_56		animals	medveď / maco	Bear	bear			
item_57	item_78	animals	mačka	cat	cat			
item_58	item_81	animals	motýľ	butterfly	butterfly			
item_59		animals	mravec	ant	ant			
item_60	item_82	animals	mucha	fly	fly (animal)			
item_61	item_83	animals	myška	mouse	mouse			
item_62	item_84	animals	opica	monkey	monkey			
item_63		animals	ovca / baran	sheep / ram	sheep			
item_64	item_86	animals	papagáj	parrot	parrot			
item_65		animals	parôžky	stag			deer	
item_66		animals	pavúk	spider	spider			
item_67		animals	pes / havo	dog	dog			
item_68		animals	prasa /sviňa / svinka	pig / sow			pig	
item_69	item_94	animals	včela	honey bee	bee			
item_70		animals	veverička	squirrel	squirrel			
item_71	item_95	animals	vlk	Wolf	wolf			
item_72		animals	vrabec	sparrow	sparrow			
item_73	item_96	animals	vrana	Crow	crow			
item_74	item_97	animals	vtáčik	bird	bird			
item_75	item_98	animals	zajac	Hare	bunny			
item_76		animals	zebra	zebra			zebra	
item_77		animals	zobák	beak			beak	
item_78		animals	zviera	the animal	animal			
item_79	item_99	animals	žaba	frog	frog			
item_80	item_100	animals	žirafa	giraffe	giraffe			
item_81	item_101	vehicles	auto	car	car			
item_82	item_102	vehicles	autobus	the bus	bus			
item_83		vehicles	bager	excavator				
item_84	item_103	vehicles	bicykel	a bike	bicycle			
item_85		vehicles	džíp	jeep	jeep			
item_86		vehicles	typy áut (fábia; mercede; /…)	Types of cars (Fabia / Mercedes / ...)				
item_87		vehicles	formula	formula				
item_88		vehicles	kamión	truck	truck			
item_89		vehicles	kočiar /kočík	carriage / stroller	stroller			
item_90	item_104	vehicles	lietadlo	a plane	airplane			
item_91		vehicles	loď / čln	ship / boat	boat			
item_92		vehicles	lokomotíva / rušeň	locomotive / locomotive	locomotive			
item_93		vehicles	miešačka	mixer				
item_94		vehicles	mercedes	mercedes				
item_95	item_105	vehicles	motorka	motorbike	motorcycle			
item_96		vehicles	raketa	rocket			rocket	
item_97		vehicles	sanitka	ambulance	ambulance			
item_98	item_106	vehicles	traktor	tractor	tractor			
item_99	item_107	vehicles	trojkolka	tricycle			tricycle	
item_100		vehicles	vagón	wagon	car			
item_101	item_108	vehicles	vlak	the train	train			
item_102		vehicles	vlečka	train			train	
item_103		vehicles	volant	steering wheel				
item_104		vehicles	vozík	trolley			trolley	
item_105		vehicles	vrtuľník / helikoptéra	helicopter / helicopter			helicopter	
item_106		vehicles	žeriav	crane			crane (vehicle)	
item_107	item_109	toys	bábika	doll	doll			
item_108	item_110	toys	balón	balloon	balloon			
item_109		toys	bublina / bublifuk	Bubble / Bubble Blower	bubbles			
item_110	item_112	toys	bubon	drum	drum			
item_111	item_113	toys	dráčik	dragon			dragon	
item_112	item_114	toys	guľka	bullet	ball			
item_113	item_115	toys	kocka	hot girl			blocks	or dice?
item_114	item_116	toys	lopta / gól	ball / goal	ball			
item_115	item_117	toys	panák / figúrka	dummy / figurine				
item_116	item_118	toys	vedierko / kýblik	bucket / pail	bucket			
item_117	item_119	toys	formička	mold				
item_118		toys	puzzle / skladačka	puzzle / Jigsaw			puzzle	
item_119		toys	obrázok	a picture	picture			
item_120		toys	písmenká / abeceda	letters / alphabet			alphabet	
item_121		toys	kniha	a book	book			
item_122		toys	karta	card			card	
item_123		toys	pexeso	Memory Game				
item_124		toys	rozprávka	fairy tale			story	
item_125		toys	hračka	plaything	toy (object)			
item_126		toys	fixa	fixa				
item_127		toys	farbička / pastelka	dye / crayon	crayon			
item_128		toys	farby	color				
item_129		toys	veža	tower	tower			
item_130		toys	vlajka / zástavka	Flag / stop	stop			
item_131		food_drink	ananás	pineapple			pineapple	
item_132	item_120	food_drink	banán	banana	banana			
item_133		food_drink	cestoviny / rezance	pasta / noodles	pasta			
item_134		food_drink	cibuľa	onions			onion	
item_135		food_drink	cukor	sugar	sugar			
item_136		food_drink	cukríky	candies	candy			
item_137	item_121	food_drink	čaj	tea	tea			
item_138	item_122	food_drink	čokoláda	chocolate	chocolate			
item_139	item_123	food_drink	džús	juice	juice			
item_140		food_drink	fazuľka	beans	beans			
item_141	item_124	food_drink	guláš	stew			soup	
item_142	item_125	food_drink	halušky	gnocchi			pasta	
item_143	item_126	food_drink	hrach	peas			peas	
item_144		food_drink	hruška	pear	pear			
item_145		food_drink	huba / hríbik	mushroom			mushroom	
item_146	item_127	food_drink	chlieb	bread	bread			
item_147		food_drink	chrumky	nibbles			snack	
item_148	item_128	food_drink	jablko	Apple	apple			
item_149		food_drink	jahoda	strawberry			strawberry	
item_150	item_129	food_drink	jedlo / ham	food / Ham	food			
item_151	item_130	food_drink	jogurt	yogurt	yogurt			
item_152		food_drink	kakao / granko	Cocoa	cacao		hot chocolate	or chocolate
item_153	item_132	food_drink	kaša	mash				mashed potatoes or applesauce?
item_154		food_drink	káva	coffee	coffee			
item_155	item_133	food_drink	keksík	cookie	cookie			
item_156		food_drink	klobása	sausage			sausage	
item_157	item_134	food_drink	koláčik	tartlet	cake			
item_158	item_135	food_drink	kompót	compote			jam	
